learn_id,learning_name,num_learnning_str,number,from_language
ja,Japanese,156K,155750,Dutch
pt,Portuguese,"34,5 tn",34451,Swedish
zh-CN,Chinese,656 k,655705,French
en,English,20.9 مليو,20884284,Arabic
ar,Arabic,6.96M,6956972,English
es,Spanish,1.40 مليون,1404880,Arabic
pt,Portuguese,19.0K,18981,Tagalog
hw,Hawaiian,786K,785926,English
de,German,16.4M,16379899,English
ko,Korean,886 k,885830,French
en,English,,0,Serbian
it,Italian,666 ألف,665629,Arabic
it,Italian,"96,3K",96264,Indonesian
en,English,28.6M,28628394,English
nv,Navajo,290K,290144,English
ja,Japanese,"1,52M",1524360,Indonesian
he,Hebrew,1.36M,1363716,English
en,English,,0,Danish
fr,French,"1,99 млн",1991836,Russian
fr,French,"1,11 mln.",1105957,Dutch
de,German,742K,741519,Dutch
zh-CN,Chinese,461 ألف,460659,Arabic
pt,Portuguese,"7,36M",7360851,Spanish
it,Italian,2.74 ม.,27424,Thai
de,German,,0,German
en,English,,0,Malay (Malaysia)
fr,French,3.72L,371935,Hindi
de,German,"2,91M",2909569,Spanish
es,Spanish,6.66 ม.,66612,Thai
no-BO,Norwegian (Bokmål),1.53M,1534302,English
fr,French,"94,5 E",94499,Hungarian
sv,Swedish,2.00M,1999809,English
it,Italian,196 tis.,195795,Czech
de,German,69.2K,69168,Tagalog
it,Italian,51.4万,514393,Chinese
ko,Korean,919 ألف,918970,Arabic
pt,Portuguese,149 N,149436,Vietnamese
ja,Japanese,,0,Japanese
pt,Portuguese,4.67M,4673383,English
uk,Ukrainian,1.01M,1005625,English
it,Italian,,0,Italian
ja,Japanese,686 Tsd,686279,German
pt,Portuguese,,0,Portuguese
en,English,1.15M,1148458,Tagalog
fr,French,"1,17 Mln",1167226,Italian
zh-CN,Chinese,"3,07 Tr",3068983,Vietnamese
fr,French,36.6K,36575,Tamil
pt,Portuguese,"34,2 тис",34231,Ukrainian
zh-CN,Chinese,330 Tsd,329900,German
de,German,89.1万,891024,Chinese
en,English,1.28M,1284275,Telugu
fr,French,174 тис,173557,Ukrainian
en,English,,0,Malayalam
zh-CN,Chinese,"54,2 K",54158,Romanian
zu,Zulu,745K,744631,English
fr,French,188万,1878311,Chinese
it,Italian,40.7K,40748,Tagalog
pt,Portuguese,"98,1 tys.",98128,Polish
fr,French,"7,25M",7245326,Spanish
ko,Korean,11.8L,1178722,Hindi
fr,French,"2,64 Mio",2639720,German
fr,French,"3,12 mi",3118684,Portuguese
en,English,1.42M,1424342,Tamil
en,English,"55,9M",55886705,Spanish
de,German,20.0만,200480,Korean
zh-CN,Chinese,196 Mila,196486,Italian
de,German,"1,37 mi",1370610,Portuguese
pt,Portuguese,"25,6 E",25645,Hungarian
pt,Portuguese,6.08만,60765,Korean
es,Spanish,35.7万,356711,Japanese
ja,Japanese,"40,1 χιλ.",40096,Greek
en,English,438만,4381024,Korean
pt,Portuguese,"1,18 M",1179760,French
hu,Hungarian,601K,600882,English
ja,Japanese,"71,9 K",71860,Romanian
en,English,"2,04 mil.",2044430,Czech
de,German,"2,08 M",2076436,French
it,Italian,"6,15M",6146016,Spanish
ko,Korean,"55,5 tn",55452,Swedish
it,Italian,"2,61 M",2611325,French
nl-NL,Dutch,2.82M,2817184,English
